source,column,null_count,null_percentage
train_transaction,TransactionID,0,0.0
train_transaction,isFraud,0,0.0
train_transaction,TransactionDT,0,0.0
train_transaction,TransactionAmt,0,0.0
train_transaction,ProductCD,0,0.0
train_transaction,card1,0,0.0
train_transaction,card2,8933,1.5126833068039423
train_transaction,card3,1565,0.26501168422122123
train_transaction,card4,1577,0.267043722694483
train_transaction,card5,4259,0.7212043214684865
train_transaction,card6,1571,0.26602770345785215
train_transaction,addr1,65706,11.12642666034477
train_transaction,addr2,65706,11.12642666034477
train_transaction,dist1,352271,59.6523520845328
train_transaction,dist2,552913,93.62837403054831
train_transaction,P_emaildomain,94456,15.99485216920107
train_transaction,R_emaildomain,453249,76.75161716395164
train_transaction,C1,0,0.0
train_transaction,C2,0,0.0
train_transaction,C3,0,0.0
train_transaction,C4,0,0.0
train_transaction,C5,0,0.0
train_transaction,C6,0,0.0
train_transaction,C7,0,0.0
train_transaction,C8,0,0.0
train_transaction,C9,0,0.0
train_transaction,C10,0,0.0
train_transaction,C11,0,0.0
train_transaction,C12,0,0.0
train_transaction,C13,0,0.0
train_transaction,C14,0,0.0
train_transaction,D1,1269,0.21488806854743117
train_transaction,D2,280797,47.54919226470688
train_transaction,D3,262878,44.514850814508755
train_transaction,D4,168922,28.604666915026925
train_transaction,D5,309841,52.46740271615809
train_transaction,D6,517353,87.60676668811597
train_transaction,D7,551623,93.40992989467267
train_transaction,D8,515614,87.31229044603245
train_transaction,D9,515614,87.31229044603245
train_transaction,D10,76022,12.873302401192129
train_transaction,D11,279287,47.29349409015477
train_transaction,D12,525823,89.04104717715988
train_transaction,D13,528588,89.50926270870728
train_transaction,D14,528353,89.46946862193924
train_transaction,D15,89113,15.090087038981272
train_transaction,M1,271100,45.90713584177194
train_transaction,M2,271100,45.90713584177194
train_transaction,M3,271100,45.90713584177194
train_transaction,M4,281444,47.658753005723575
train_transaction,M5,350482,59.34940901547736
train_transaction,M6,169360,28.678836319300977
train_transaction,M7,346265,58.63531682866529
train_transaction,M8,346252,58.633115453652586
train_transaction,M9,346252,58.633115453652586
train_transaction,V1,279287,47.29349409015477
train_transaction,V2,279287,47.29349409015477
train_transaction,V3,279287,47.29349409015477
train_transaction,V4,279287,47.29349409015477
train_transaction,V5,279287,47.29349409015477
train_transaction,V6,279287,47.29349409015477
train_transaction,V7,279287,47.29349409015477
train_transaction,V8,279287,47.29349409015477
train_transaction,V9,279287,47.29349409015477
train_transaction,V10,279287,47.29349409015477
train_transaction,V11,279287,47.29349409015477
train_transaction,V12,76073,12.881938564703491
train_transaction,V13,76073,12.881938564703491
train_transaction,V14,76073,12.881938564703491
train_transaction,V15,76073,12.881938564703491
train_transaction,V16,76073,12.881938564703491
train_transaction,V17,76073,12.881938564703491
train_transaction,V18,76073,12.881938564703491
train_transaction,V19,76073,12.881938564703491
train_transaction,V20,76073,12.881938564703491
train_transaction,V21,76073,12.881938564703491
train_transaction,V22,76073,12.881938564703491
train_transaction,V23,76073,12.881938564703491
train_transaction,V24,76073,12.881938564703491
train_transaction,V25,76073,12.881938564703491
train_transaction,V26,76073,12.881938564703491
train_transaction,V27,76073,12.881938564703491
train_transaction,V28,76073,12.881938564703491
train_transaction,V29,76073,12.881938564703491
train_transaction,V30,76073,12.881938564703491
train_transaction,V31,76073,12.881938564703491
train_transaction,V32,76073,12.881938564703491
train_transaction,V33,76073,12.881938564703491
train_transaction,V34,76073,12.881938564703491
train_transaction,V35,168969,28.612625732380533
train_transaction,V36,168969,28.612625732380533
train_transaction,V37,168969,28.612625732380533
train_transaction,V38,168969,28.612625732380533
train_transaction,V39,168969,28.612625732380533
train_transaction,V40,168969,28.612625732380533
train_transaction,V41,168969,28.612625732380533
train_transaction,V42,168969,28.612625732380533
train_transaction,V43,168969,28.612625732380533
train_transaction,V44,168969,28.612625732380533
train_transaction,V45,168969,28.612625732380533
train_transaction,V46,168969,28.612625732380533
train_transaction,V47,168969,28.612625732380533
train_transaction,V48,168969,28.612625732380533
train_transaction,V49,168969,28.612625732380533
train_transaction,V50,168969,28.612625732380533
train_transaction,V51,168969,28.612625732380533
train_transaction,V52,168969,28.612625732380533
train_transaction,V53,77096,13.055169844549058
train_transaction,V54,77096,13.055169844549058
train_transaction,V55,77096,13.055169844549058
train_transaction,V56,77096,13.055169844549058
train_transaction,V57,77096,13.055169844549058
train_transaction,V58,77096,13.055169844549058
train_transaction,V59,77096,13.055169844549058
train_transaction,V60,77096,13.055169844549058
